종목코드,종목명,현재가,대비,등락률,거래량,가격(원),일자,종료일 종가
215090,이디티,"612","2","0.33","3,087,489","573","2021/01/22","610"
368770,한국9호스팩,"2,045","0","0","23,534","2,020","2021/01/21","2,045"
155900,바다로19호,"2,255","5","0.22","11,292","2,230","2021/01/20","2,250"
339770,교촌에프앤비,"18,150","-50","-0.27","121,256","17,750","2021/01/19","18,200"
042520,한스바이오메드,"11,700","-150","-1.27","65,403","10,800","2021/01/19","11,850"
065950,웰크론,"4,935","-75","-1.5","338,321","4,870","2021/01/19","5,010"
192410,감마누,"2,010","-30","-1.47","143,825","1,985","2021/01/19","2,040"
950190,미투젠,"24,350","250","1.04","28,564","23,300","2021/01/19","24,100"
178600,대동고려삼,"4,035","5","0.12","302","3,620","2021/01/19","4,030"
224760,엔에스컴퍼니,"5,440","705","14.89","300","4,320","2021/01/19","4,735"
138690,엘아이에스,"5,150","-140","-2.65","123,066","4,995","2021/01/18","5,290"
221610,자안,"249","-4","-1.58","4,473,115","239","2021/01/18","253"
278990,파인이엠텍,"4,950","-40","-0.8","0","3,085","2021/01/18","4,990"
329020,오션스톤,"4,030","-670","-14.26","1,687","3,660","2021/01/18","4,700"
153360,하이골드3호,"1,190","10","0.85","14,280","1,170","2021/01/15","1,180"
045890,GV,"486","-15","-2.99","9,964,635","367","2021/01/14","501"
266870,파워풀엑스,"867","39","4.71","277","760","2021/01/13","828"
900110,이스트아시아홀딩스,"215","-1","-0.46","2,315,379","214","2021/01/12","216"
053110,소리바다,"314","3","0.96","1,331,838","290","2021/01/12","311"
127160,매직마이크로,"282","0","0","0","263","2021/01/12","282"
323230,엠에프엠코리아,"1,990","20","1.02","23,661","1,865","2021/01/12","1,970"
322190,에이스캠퍼,"1,795","-30","-1.64","3,201","1,230","2021/01/12","1,825"
080530,코디,"1,870","70","3.89","365,326","1,690","2021/01/11","1,800"
058420,제이웨이,"385","2","0.52","3,456,723","283","2021/01/08","383"
217320,썬테크,"10,000","0","0","0","9,500","2021/01/06","10,000"
257990,나우코스,"9,350","150","1.63","2,342","5,980","2021/01/06","9,200"
221800,유투바이오,"9,000","-440","-4.66","1","7,240","2020/12/30","9,440"
265740,엔에프씨,"19,050","-500","-2.56","771,049","12,500","2020/12/29","19,550"
290690,소룩스,"23,550","-650","-2.69","206,091","17,450","2020/12/29","24,200"
335810,프리시젼바이오,"24,650","-900","-3.52","314,940","22,850","2020/12/29","25,550"
337930,브랜드엑스코퍼레이션,"11,750","-500","-4.08","164,800","10,000","2020/12/29","12,250"
009810,엔케이물산,"532","-6","-1.12","1,043,606","500","2020/12/28","538"
145210,세화아이엠씨,"616","-94","-13.24","12,850,947","502","2020/12/28","710"
900300,오가닉티코스메틱,"739","113","18.05","70,737,135","522","2020/12/28","626"
065150,MP그룹,"1,025","10","0.99","747,552","1,000","2020/12/28","1,015"
083660,CSA 코스믹,"2,370","-20","-0.84","188,113","1,960","2020/12/28","2,390"
367460,유안타제7호스팩,"2,040","0","0","5,540","2,000","2020/12/28","2,040"
093510,엔지브이아이,"944","0","0","0","944","2020/12/28","944"
122830,원포유,"2,595","0","0","524","1,450","2020/12/28","2,595"
286000,씨엔티드림,"9,000","0","0","12","6,000","2020/12/28","9,000"
033340,좋은사람들,"1,385","-10","-0.72","345,750","1,160","2020/12/24","1,395"
043090,큐브앤컴퍼니,"1,690","-5","-0.29","297,111","1,125","2020/12/24","1,695"
095270,웨이브일렉트로,"4,850","-80","-1.62","53,540","4,260","2020/12/24","4,930"
317690,퀀타매트릭스,"24,350","250","1.04","286,305","19,950","2020/12/24","24,100"
352770,클리노믹스,"16,700","-750","-4.3","308,278","14,550","2020/12/24","17,450"
253610,루트락,"4,950","120","2.48","15,438","2,100","2020/12/24","4,830"
365550,ESR켄달스퀘어리츠,"5,530","130","2.41","774,207","4,800","2020/12/23","5,400"
273060,와이즈버즈,"1,785","-15","-0.83","117,588","1,600","2020/12/23","1,800"
356860,티엘비,"52,200","-2,000","-3.69","75,244","45,600","2020/12/23","54,200"
357550,석경에이티,"32,000","-500","-1.54","2,488,739","20,000","2020/12/23","32,500"
369370,대신밸런스제9호스팩,"2,070","20","0.98","229","2,020","2020/12/23","2,050"
323350,다원넥스뷰,"20,450","250","1.24","628","15,650","2020/12/23","20,200"
129890,앱코,"28,050","-550","-1.92","220,546","24,800","2020/12/22","28,600"
347860,알체라,"32,750","-1,400","-4.1","760,193","20,000","2020/12/21","34,150"
365590,엔에이치스팩18호,"2,065","5","0.24","12,736","2,005","2020/12/21","2,060"
258050,테크트랜스,"1,600","0","0","0","1,190","2020/12/21","1,600"
327970,케어룸의료산업,"11,400","200","1.79","101","8,500","2020/12/17","11,200"
